Date,Time,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,GblSz,pGblNsz,pGblAsz,ObjSz,pObjNsz,pObjAsz,BDBSz,pBDBNsz,pBDBAsz,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
12/15/2023,16:52:53,8878228,0,0,1,700230,1468,0,13555,0,1,0,0,2547,1225993,0,0,3,1,50,0,0,7,0,0,7,0,0,0,0,0,0,0,0,1416,0,0,1245,342
12/15/2023,16:53:03,11448863,0,0,0,0,1033,0,9358,0,0,0,0,2820,1225993,0,0,0,1,38,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1416,0,0,1169,309
12/15/2023,16:53:13,11681443,0,0,0,0,1773,0,15704,0,0,0,0,3211,1225995,0,0,0,1,52,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1416,0,0,1997,620
12/15/2023,16:53:23,11496288,0,0,0,0,1728,0,17578,0,0,0,0,3687,1225992,0,0,0,2,59,0,0,19,0,0,7,0,0,0,0,0,0,0,0,1416,0,0,1234,337
12/15/2023,16:53:33,11581707,0,0,0,0,1571,0,14865,0,0,0,0,4054,1225996,0,0,0,1,49,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1416,0,0,1239,340
12/15/2023,16:53:43,11362440,0,0,0,0,1326,0,12562,0,0,0,408,647,1225996,0,13,0,1,80,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1201,323
12/15/2023,16:53:53,11556774,0,0,0,0,1292,0,12053,0,0,0,0,1339,1225992,0,0,0,1,81,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1198,323
12/15/2023,16:54:03,11392240,0,0,0,0,2533,0,26284,0,0,0,0,2176,1225993,0,0,0,3,96,0,0,4,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1686,507
12/15/2023,16:54:13,11518081,0,0,0,0,1396,0,12567,0,0,0,0,2800,1225998,0,0,0,1,74,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1227,335
12/15/2023,16:54:23,11477555,0,0,0,0,1733,0,16832,0,0,0,0,3157,1225998,0,0,0,2,47,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1232,335
12/15/2023,16:54:33,11606920,0,0,0,0,1213,0,11142,0,0,0,0,3546,1225994,0,0,0,1,51,0,0,17,0,0,6,0,0,0,0,0,0,0,0,1417,0,0,1235,343
12/15/2023,16:54:43,11682672,0,0,0,0,1184,0,10874,0,0,0,0,3928,1225994,0,0,0,1,49,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1417,0,0,1187,317
12/15/2023,16:54:53,11695882,0,0,0,0,2004,0,20380,0,0,0,0,4416,1225994,0,0,0,2,60,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1417,0,0,1269,354
12/15/2023,16:55:03,11401841,0,0,0,0,1167,0,10526,0,0,0,450,781,1225994,0,14,2,1,101,0,0,24,0,0,6,0,0,0,0,0,0,0,0,1418,0,0,1259,352
12/15/2023,16:55:13,11493724,0,0,0,0,2070,0,21052,0,0,0,0,1648,1225994,0,0,0,2,98,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1418,0,0,1280,358
12/15/2023,16:55:23,11704098,0,0,0,0,1725,0,16911,0,0,0,0,2206,1225993,0,0,0,2,67,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1418,0,0,1232,335
12/15/2023,16:55:33,11580613,0,0,0,0,2201,0,22540,0,0,0,0,2712,1225994,0,0,0,2,63,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1418,0,0,1288,361
12/15/2023,16:55:43,11275970,0,0,0,0,3356,0,34004,0,0,0,0,3273,1225998,0,0,0,3,68,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1418,0,0,2397,771
12/15/2023,16:55:53,11339922,0,0,1,891131,1577,0,14255,0,0,0,0,3911,1226005,0,0,0,1,75,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1418,0,0,1280,356
12/15/2023,16:56:03,11609615,0,0,0,0,2595,0,27331,0,0,0,0,4389,1226004,0,0,0,3,60,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1418,0,0,1321,373
12/15/2023,16:56:13,11548977,0,0,0,0,2774,0,29306,0,0,0,0,4795,1225997,0,0,0,3,53,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1418,0,0,1344,385
12/15/2023,16:56:23,11532580,0,0,0,0,1429,0,13464,0,0,0,489,806,1225996,0,16,0,1,107,0,0,15,0,0,8,0,0,0,0,0,0,0,0,1419,0,0,1369,407
12/15/2023,16:56:33,11466606,0,0,0,0,2550,0,26960,0,0,0,0,1587,1225999,0,0,0,3,91,0,0,26,0,0,7,0,0,0,0,0,0,0,0,1419,0,0,1366,400
12/15/2023,16:56:43,11195869,0,0,0,0,2822,0,27874,0,0,0,0,2245,1226005,0,0,0,2,78,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1419,0,0,2595,844
12/15/2023,16:56:53,11422533,0,0,2,453307.5,2208,0,21242,0,0,0,0,2943,1226012,0,0,0,2,82,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1419,0,0,1358,389
12/15/2023,16:57:03,11356247,0,0,0,0,2428,0,25436,0,0,0,0,3348,1226013,0,0,0,3,52,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1419,0,0,1304,366
12/15/2023,16:57:13,11672579,0,0,0,0,1182,0,10898,0,0,0,0,3776,1226008,0,0,0,1,54,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1419,0,0,1189,319
12/15/2023,16:57:23,11645262,0,0,0,0,2479,0,25604,0,0,0,0,4126,1226007,0,0,0,3,49,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1419,0,0,1309,369
12/15/2023,16:57:33,11818154,0,0,0,0,1255,0,11937,0,0,0,0,4512,1226021,0,0,0,1,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1419,0,0,959,302
12/15/2023,16:57:43,11679581,0,0,0,0,2489,0,27128,0,0,0,459,884,1226007,0,15,0,3,106,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1420,0,0,1028,261
12/15/2023,16:57:53,11609556,0,0,0,0,2282,0,23532,0,0,0,0,1539,1226007,0,0,0,2,76,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1299,367
12/15/2023,16:58:03,11729034,0,0,0,0,1520,0,14925,0,0,0,0,2097,1226005,0,0,0,1,66,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1217,329
12/15/2023,16:58:13,11595057,0,0,0,0,2356,0,24349,0,0,0,0,2522,1226005,0,0,0,2,54,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1301,367
12/15/2023,16:58:23,11866830,0,0,0,0,1320,0,12501,0,0,0,0,3041,1226002,0,0,0,1,65,0,0,10,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1198,321
12/15/2023,16:58:33,11546294,0,0,0,0,2081,0,22202,0,0,0,0,3525,1225999,0,0,0,2,61,0,0,7,0,0,7,0,0,0,0,0,0,0,0,1420,0,0,1278,358
12/15/2023,16:58:43,11629189,0,0,0,0,1481,0,13840,0,0,0,0,3891,1226001,0,0,0,1,48,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1424,407
12/15/2023,16:58:53,11602325,0,0,0,0,1830,0,18553,0,0,0,0,4289,1226002,0,0,0,2,51,0,0,16,0,0,6,0,0,0,0,0,0,0,0,1420,0,0,1260,350
12/15/2023,16:59:03,11620164,0,0,0,0,991,0,8705,0,0,0,430,217,1226003,0,14,0,0,36,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1421,0,0,1168,309
12/15/2023,16:59:13,11229972,0,0,0,0,3798,0,38549,0,0,0,0,740,1226010,0,0,0,4,65,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1421,0,0,2713,887
12/15/2023,16:59:23,11140467,0,0,0,0,6008,0,66372,0,0,0,0,1740,1226008,0,0,0,8,116,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1421,0,0,1647,512
12/15/2023,16:59:33,11367081,0,0,0,0,3327,0,34946,0,0,0,0,2300,1226011,0,0,0,4,69,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1421,0,0,1435,423
12/15/2023,16:59:43,10836852,0,0,0,0,7261,0,80921,0,0,0,0,2859,1226011,0,0,0,9,71,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1421,0,0,2629,879
12/15/2023,16:59:53,10703322,0,0,0,0,9544,0,105412,0,0,0,0,3400,1226012,0,0,0,13,69,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1421,0,0,2207,738
12/15/2023,17:00:03,10505853,0,0,0,0,9549,0,107690,0,1,0,0,3868,1226013,0,0,3,13,64,0,0,31,0,0,15,0,0,0,0,0,0,0,0,1421,0,0,2128,726
12/15/2023,17:00:13,11298487,0,0,0,0,4236,0,46226,0,0,0,0,4050,1226004,0,0,0,5,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1421,0,0,1486,445
12/15/2023,17:00:23,11334158,0,0,0,0,2701,0,28322,0,0,0,413,389,1226004,0,13,0,3,63,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1422,0,0,1327,376
12/15/2023,17:00:33,11311231,0,0,0,0,2372,0,24667,0,0,0,0,712,1226005,0,0,0,3,43,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1422,0,0,1309,371
12/15/2023,17:00:43,11583857,0,0,0,0,2053,0,21322,0,0,0,0,1610,1226008,0,0,0,1,101,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1422,0,0,2270,724
12/15/2023,17:00:53,11477171,0,0,1,912179,3293,0,31502,0,0,0,0,2827,1226013,0,0,0,4,134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1422,0,0,1726,526
12/15/2023,17:01:03,11031285,0,0,0,0,1307,0,12467,0,0,0,0,3409,1226014,0,0,0,1,69,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1422,0,0,1201,323
12/15/2023,17:01:13,10351608,0,0,0,0,1688,0,15647,0,0,0,0,3947,1226011,0,0,0,1,66,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1422,0,0,1576,463
12/15/2023,17:01:23,11075176,0,0,0,0,1522,0,14540,0,0,0,0,4470,1226008,0,0,0,1,64,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1422,0,0,1212,327
12/15/2023,17:01:33,11037164,0,0,0,0,1650,0,16349,0,0,0,0,4851,1226009,0,0,0,1,49,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1422,0,0,1240,341
12/15/2023,17:01:43,10836157,0,0,0,0,1709,0,17981,0,0,0,491,832,1226015,0,16,0,1,102,0,0,18,0,0,6,0,0,0,0,0,0,0,0,1423,0,0,2162,678
12/15/2023,17:01:53,11045410,0,0,0,0,2354,0,20331,0,0,0,0,1652,1226023,0,0,0,2,95,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1423,0,0,1780,536
12/15/2023,17:02:03,10957811,0,0,0,0,2670,0,28173,0,0,0,0,2393,1226022,0,0,0,3,85,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1423,0,0,1327,376
12/15/2023,17:02:13,11123280,0,0,0,0,1294,0,12890,0,0,0,0,2879,1226014,0,0,0,1,60,0,0,23,0,0,7,0,0,0,0,0,0,0,0,1423,0,0,1204,327
12/15/2023,17:02:23,11188765,0,0,0,0,1668,0,16242,0,0,0,0,3302,1226013,0,0,0,2,54,0,0,7,0,0,6,0,0,0,0,0,0,0,0,1423,0,0,1268,355
12/15/2023,17:02:33,11024981,0,0,0,0,1829,0,18383,0,0,0,0,3651,1226014,0,0,0,2,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1423,0,0,1251,346
12/15/2023,17:02:43,10961241,0,0,0,0,1932,0,18846,0,0,0,0,3985,1226018,0,0,0,1,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1423,0,0,2400,763
12/15/2023,17:02:53,10897683,0,0,0,0,3710,0,37457,0,0,0,0,4397,1226024,0,0,0,4,55,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1423,0,0,1692,515
12/15/2023,17:03:03,11114048,0,0,0,0,1367,0,13815,0,0,0,445,879,1226022,0,14,0,1,106,0,0,24,0,0,6,0,0,0,0,0,0,0,0,1424,0,0,1235,336
12/15/2023,17:03:13,10777476,0,0,0,0,1588,0,14887,0,0,0,0,1714,1226028,0,0,0,1,97,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1424,0,0,1761,535
12/15/2023,17:03:23,11039298,0,0,0,0,2740,0,24730,0,0,0,0,2500,1226025,0,0,0,3,92,0,0,5,0,0,7,0,0,0,0,0,0,0,0,1424,0,0,1460,421
12/15/2023,17:03:33,11027058,0,0,0,0,4107,0,20135,0,0,0,0,3337,1226019,0,0,0,5,110,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1424,0,0,1277,357
12/15/2023,17:03:43,11214238,0,0,0,0,1384,0,13260,0,0,0,0,3853,1226020,0,0,0,1,64,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1424,0,0,1207,325
12/15/2023,17:03:53,11062181,0,0,0,0,2024,0,20612,0,0,0,0,4308,1226018,0,0,0,2,57,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1424,0,0,1271,354
12/15/2023,17:04:03,11074490,0,0,0,0,1824,0,18314,0,0,0,0,4646,1226018,0,0,0,2,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1424,0,0,1245,341
12/15/2023,17:04:13,10972937,0,0,0,0,1179,0,10586,0,0,0,0,4941,1226019,0,0,0,1,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1424,0,0,1190,320
12/15/2023,17:04:23,11072842,0,0,0,0,2064,0,20897,0,0,0,500,1095,1226018,0,16,0,2,129,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1425,0,0,1265,349
12/15/2023,17:04:33,11035549,0,0,0,0,2040,0,20684,0,0,0,0,1911,1226020,0,0,0,2,93,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1425,0,0,1271,354
12/15/2023,17:04:43,11064107,0,0,0,0,2053,0,20981,0,0,0,0,2587,1226019,0,0,0,2,81,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1425,0,0,1268,351
12/15/2023,17:04:53,11046898,0,0,0,0,2586,0,27410,0,0,0,0,3082,1226019,0,0,0,3,60,0,0,17,0,0,6,0,0,0,0,0,0,0,0,1425,0,0,1373,397
12/15/2023,17:05:03,11066853,0,0,0,0,1493,0,14043,0,0,0,0,3614,1226019,0,0,2,1,66,0,0,5,0,0,6,0,0,0,0,0,0,0,0,1425,0,0,1291,365
12/15/2023,17:05:13,11068662,0,0,0,0,2037,0,20234,0,0,0,0,4214,1226029,0,0,0,2,67,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1425,0,0,1622,548
12/15/2023,17:05:23,10956471,0,0,0,0,1789,0,16349,0,0,0,0,4760,1226027,0,0,0,2,67,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1425,0,0,1422,403
12/15/2023,17:05:33,11122293,0,0,0,0,1290,0,11711,0,0,0,0,5038,1226026,0,0,0,1,42,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1425,0,0,1212,329
12/15/2023,17:05:43,11067744,0,0,0,0,1722,0,17168,0,0,0,510,928,1226027,0,16,0,2,111,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1235,337
12/15/2023,17:05:53,11034006,0,0,0,0,2208,0,22707,0,0,0,0,1668,1226026,0,0,0,2,85,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1293,364
12/15/2023,17:06:03,11199341,0,0,0,0,1495,0,14667,0,0,0,0,2195,1226026,0,0,0,1,64,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1213,328
12/15/2023,17:06:13,11193284,0,0,0,0,1358,0,12721,0,0,0,0,2881,1226026,0,0,0,1,79,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1426,0,0,1205,326
12/15/2023,17:06:23,11045065,0,0,0,0,1430,0,13382,0,0,0,0,3414,1226025,0,0,0,1,64,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1207,325
12/15/2023,17:06:33,11056953,0,0,0,0,1361,0,12910,0,0,0,0,3874,1226026,0,0,0,1,57,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1205,326
12/15/2023,17:06:43,11218297,0,0,0,0,1248,0,11667,0,0,0,0,4292,1226025,0,0,0,1,53,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1426,0,0,1189,317
12/15/2023,17:06:53,11147029,0,0,0,0,1424,0,13679,0,0,0,0,4683,1226026,0,0,0,1,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1426,0,0,1217,332
12/15/2023,17:07:03,10926624,0,0,0,0,1364,0,13242,0,0,0,477,845,1226026,0,15,0,1,105,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1427,0,0,1202,323
12/15/2023,17:07:13,11109491,0,0,1,873559,1990,0,17732,0,0,0,0,1838,1226037,0,0,0,1,112,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1427,0,0,2130,668
12/15/2023,17:07:23,11092484,0,0,0,0,1504,0,14535,0,0,0,0,2398,1226035,0,0,0,1,67,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1427,0,0,1212,327
12/15/2023,17:07:33,11061564,0,0,0,0,1216,0,11355,0,0,0,0,2888,1226028,0,0,0,1,61,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1427,0,0,1197,323
12/15/2023,17:07:43,10919107,0,0,0,0,1647,0,15448,0,0,0,0,3219,1226032,0,0,0,1,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1427,0,0,2281,717
12/15/2023,17:07:53,11081205,0,0,0,0,1761,0,15607,0,0,0,0,3688,1226038,0,0,0,1,62,0,0,51,0,0,8,0,0,0,0,0,0,0,0,1427,0,0,1668,523
12/15/2023,17:08:03,11084798,0,0,0,0,1254,0,11842,0,0,0,0,4070,1226038,0,0,0,1,50,0,0,18,0,0,6,0,0,0,0,0,0,0,0,1427,0,0,1237,343
