City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Abington,Plymouth,42.1047,-70.9458,MA,0.04,0.05,0.05,0.07,0.13,0.14,0.14,0.16,0.12,0.07,0.03,0.51,0.49
Acton,Middlesex,42.485,-71.4333,MA,0.06,0.05,0.07,0.11,0.07,0.09,0.16,0.19,0.1,0.07,0.03,0.52,0.48
Acushnet,Bristol,41.6806,-70.9083,MA,0.06,0.05,0.04,0.04,0.12,0.11,0.13,0.18,0.13,0.11,0.03,0.52,0.48
Adams,Berkshire,42.6242,-73.1181,MA,0.04,0.04,0.05,0.04,0.16,0.12,0.12,0.15,0.16,0.07,0.05,0.48,0.52
Agawam,Hampden,42.0696,-72.6152,MA,0.06,0.04,0.06,0.05,0.1,0.1,0.13,0.17,0.14,0.09,0.06,0.51,0.49
Alford,Berkshire,42.2321,-73.4124,MA,0.05,0.05,0.03,0.02,0.07,0.03,0.06,0.15,0.24,0.22,0.08,0.5,0.5
Amesbury,Essex,42.8565,-70.9335,MA,0.04,0.05,0.07,0.05,0.12,0.11,0.15,0.16,0.14,0.07,0.04,0.51,0.49
Amherst,Hampshire,42.367,-72.517,MA,0.02,0.02,0.1,0.18,0.4,0.05,0.05,0.06,0.05,0.04,0.03,0.51,0.49
Andover,Essex,42.6583,-71.1375,MA,0.08,0.04,0.09,0.06,0.09,0.1,0.15,0.17,0.12,0.06,0.04,0.52,0.48
Aquinnah,Dukes,41.3432,-70.8137,MA,0.08,0.08,0.07,0.08,0.07,0.1,0.12,0.11,0.19,0.08,0.02,0.49,0.51
Arlington,Middlesex,42.4153,-71.1569,MA,0.07,0.06,0.04,0.05,0.1,0.16,0.14,0.14,0.12,0.07,0.05,0.54,0.46
Ashburnham,Worcester,42.6361,-71.9083,MA,0.05,0.1,0.09,0.04,0.08,0.15,0.12,0.15,0.15,0.06,0.01,0.51,0.49
Ashby,Middlesex,42.6776,-71.8206,MA,0.04,0.06,0.07,0.06,0.08,0.11,0.14,0.17,0.18,0.06,0.03,0.48,0.52
Ashfield,Franklin,42.5264,-72.7889,MA,0.03,0.03,0.04,0.04,0.1,0.06,0.11,0.22,0.22,0.1,0.05,0.5,0.5
Ashland,Middlesex,42.2611,-71.4639,MA,0.07,0.06,0.05,0.06,0.1,0.13,0.16,0.15,0.12,0.07,0.03,0.51,0.49
Athol,Worcester,42.5958,-72.2272,MA,0.06,0.07,0.05,0.04,0.13,0.11,0.13,0.15,0.15,0.07,0.04,0.54,0.46
Attleboro,Bristol,41.9333,-71.3,MA,0.05,0.06,0.06,0.06,0.11,0.14,0.14,0.15,0.12,0.06,0.05,0.51,0.49
Auburn,Worcester,42.1951,-71.844,MA,0.05,0.05,0.06,0.06,0.1,0.11,0.13,0.18,0.12,0.08,0.06,0.51,0.49
Avon,Norfolk,42.1306,-71.0417,MA,0.05,0.07,0.04,0.05,0.14,0.15,0.11,0.17,0.13,0.06,0.03,0.52,0.48
Ayer,Middlesex,42.5611,-71.5903,MA,0.06,0.07,0.03,0.03,0.12,0.17,0.12,0.18,0.13,0.05,0.04,0.49,0.51
Barnstable,Barnstable,41.7,-70.3,MA,0.03,0.05,0.05,0.06,0.11,0.1,0.12,0.16,0.16,0.1,0.06,0.51,0.49
Barre,Worcester,42.4228,-72.1056,MA,0.04,0.03,0.06,0.1,0.12,0.08,0.12,0.21,0.16,0.05,0.03,0.54,0.46
Becket,Berkshire,42.3319,-73.0833,MA,0.03,0.04,0.05,0.06,0.1,0.09,0.12,0.17,0.22,0.1,0.02,0.49,0.51
Bedford,Middlesex,42.4906,-71.2767,MA,0.06,0.05,0.09,0.07,0.09,0.1,0.15,0.16,0.09,0.07,0.07,0.52,0.48
Belchertown,Hampshire,42.2769,-72.4014,MA,0.06,0.05,0.07,0.06,0.12,0.12,0.13,0.16,0.14,0.06,0.03,0.49,0.51
