ID,City,County,Latitude,Longitude,State,A04,A59,A1014,A1519,A2029,A3039,A4049,A5059,A6069,A7079,A80,F,M
1,Abington,Plymouth,42.1047,-70.9458,MA,0.04,0.05,0.05,0.07,0.13,0.14,0.14,0.16,0.12,0.07,0.03,0.51,0.49
2,Acton,Middlesex,42.485,-71.4333,MA,0.06,0.05,0.07,0.11,0.07,0.09,0.16,0.19,0.1,0.07,0.03,0.52,0.48
3,Acushnet,Bristol,41.6806,-70.9083,MA,0.06,0.05,0.04,0.04,0.12,0.11,0.13,0.18,0.13,0.11,0.03,0.52,0.48
4,Adams,Berkshire,42.6242,-73.1181,MA,0.04,0.04,0.05,0.04,0.16,0.12,0.12,0.15,0.16,0.07,0.05,0.48,0.52
5,Agawam,Hampden,42.0696,-72.6152,MA,0.06,0.04,0.06,0.05,0.1,0.1,0.13,0.17,0.14,0.09,0.06,0.51,0.49
6,Alford,Berkshire,42.2321,-73.4124,MA,0.05,0.05,0.03,0.02,0.07,0.03,0.06,0.15,0.24,0.22,0.08,0.5,0.5
7,Amesbury,Essex,42.8565,-70.9335,MA,0.04,0.05,0.07,0.05,0.12,0.11,0.15,0.16,0.14,0.07,0.04,0.51,0.49
8,Amherst,Hampshire,42.367,-72.517,MA,0.02,0.02,0.1,0.18,0.4,0.05,0.05,0.06,0.05,0.04,0.03,0.51,0.49
9,Andover,Essex,42.6583,-71.1375,MA,0.08,0.04,0.09,0.06,0.09,0.1,0.15,0.17,0.12,0.06,0.04,0.52,0.48
10,Aquinnah,Dukes,41.3432,-70.8137,MA,0.08,0.08,0.07,0.08,0.07,0.1,0.12,0.11,0.19,0.08,0.02,0.49,0.51
11,Arlington,Middlesex,42.4153,-71.1569,MA,0.07,0.06,0.04,0.05,0.1,0.16,0.14,0.14,0.12,0.07,0.05,0.54,0.46
12,Ashburnham,Worcester,42.6361,-71.9083,MA,0.05,0.1,0.09,0.04,0.08,0.15,0.12,0.15,0.15,0.06,0.01,0.51,0.49
13,Ashby,Middlesex,42.6776,-71.8206,MA,0.04,0.06,0.07,0.06,0.08,0.11,0.14,0.17,0.18,0.06,0.03,0.48,0.52
